comment,video_id,video_title,source_query,fetched_at
Hidup tok mat💪🏻💪🏻💪🏻,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Rasuah is come back 😅😅😅,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
X ada point le tu…….,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
BN penyangak,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Mazlee level2 tapak kasut hitam je😂,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
BN & PN 👍,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Tak mahu berdebat jangan peleceh orang. Orang yg kau peleceh itu ada PHD. Kau ade? Aku ni tak pernah menjadi ahli mana-mana parti politik. Tapi kalau tengok orang cakap macam aku nenyampah. Tak kira sape sekali pun.,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
tak payah layan la harapan hancing tu buang masa je,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
mat hasan sembang besar,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
"N20 Labu. Jika BN memang nti, Jgn Lupa Rakyat yg Pangkah BN . Yang Lepas N20 utamakn famili sesaorang bagi Rakyat yg lain, Koroni famili pun ego Semua famili ITU Racun DN sombong.",Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
"NO WAK JAHAT,NO ANUAR,NO DAP,NO UMDAPPP MANTAPPP....!!!😅😅😅",Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
"Manifesto nk mentekedarah duit rakyat n.9....masa ko dlu duit sikit,skrg dh berbilion....",Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Cuma...kaki sakau tolong tendang keluar..,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Pengecut lh tu,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
"Debat buang masa, sakau tak buang masa..",Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Umno mana telo kalo nak befebat,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
